SiteCode,RefCode,Country,State,Municipality,Locality,Latitude,Longitude,Precision,Vegetation,VegType,Ecoregion,Domain,Elevation,1kmAlt,MeanAnnTemp,MeanAnnRain
BFA048,BFR004,Peru,Loreto,Maynas,"Moralillo, 2 km E of km 15.2 of lquitos-Nauta Highway (District of San Juan)",-3.90947,-73.33796667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,104,26.5,2793
BFA049,BFR004,Peru,Loreto,Maynas,"Ninarumi, 7.4 km W of km 6 of Iquitos-Nauta Highway (District of San Juan)",-3.84172,-73.38078333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,94,26.4,2829
BFA050,BFR004,Peru,Loreto,Maynas,"Ninarumi, 7.4 km W, I km SE of km 6 of Iquitos-Nauta Highway (District of San Juan) ",-3.84983,-73.37393333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,105,26.4,2832
BFA051,BFR004,Peru,Loreto,Maynas,Padrecocha (town) (District of Punchana),-3.69658,-73.28311667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,101,26.4,2864
BFA052,BFR004,Peru,Loreto,Maynas,"Paujil, W km 37.45 of Iquitos-Nauta Highway (District of San Juan)",-4.05878,-73.44225,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,123,26.4,2690
BFA053,BFR004,Peru,Loreto,Maynas,"Peña Negra, 200 m E of km 10.7 of Iquitos-Nauta Highway (District of San Juan)",-3.86615,-73.33295,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,112,26.4,2824
BFA054,BFR004,Peru,Loreto,Maynas,"Peña Negra, 600 m W of km 10 of Iquitos-Nauta Highway (District of San Juan)",-3.85537,-73.34515,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,112,26.4,2836
BFA055,BFR004,Peru,Loreto,Maynas,"Peña Negra, 800 m E of km 11 of Iquitos-Nauta Highway (District of San Juan)",-3.87327,-73.33555,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,121,26.4,2824
BFA056,BFR004,Peru,Loreto,Maynas,"Recreo, Begonias street (District of San Juan)",-3.78082,-73.289,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,104,26.5,2848
BFA057,BFR004,Peru,Loreto,Maynas,"Road to El Paujil, 1.8 km W of km 35 of Iquitos-Nauta Highway (District of San Juan)",-4.02028,-73.44645,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,132,26.3,2721
BFA058,BFR004,Peru,Loreto,Maynas,"San Lucas, W km 43 of Iquitos-Nauta Highway (District of San Juan)",-4.10412,-73.46318333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,115,26.4,2660
BFA059,BFR004,Peru,Loreto,Maynas,"Santo Tomás, 6 km W of km I of Iquitos-Nauta Highway (District of San Juan)",-3.80968,-73.33813333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,97,26.4,2844
BFA060,BFR004,Peru,Loreto,Maynas,"Varillal, 2 km W of km 13.6 of lquitos-Nauta Highway (District of San Juan)",-3.88003,-73.36685,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,114,26.4,2817
BFA061,BFR004,Peru,Loreto,Maynas,"Varillal, 400 m W 200 m N of km 14 of Iquitos-Nauta Highway (District of San Juan)",-3.88248,-73.3548,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,115,26.4,2822
BFA062,BFR004,Peru,Loreto,Maynas,Villa del Ejército (between 28 de Julio-Freyre Ave. and Piura Street) (District of Punchana) ,-3.72763,-73.24346667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,97,26.4,2859
BFA063,BFR004,Peru,Loreto,Maynas,"Villa Victoria, INDECO (109 Pihuicho Street) (District of San Juan) ",-3.09823,-73.27741667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,141,26.2,2988
BFA064,BFR004,Peru,Loreto,Maynas,"Zungarococha, 5.2 km W of km 6 of lquitos-Nauta Highway (District of San Juan)",-3.83457,-73.36828333,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,95,26.5,2830
BFA065,BFR004,Peru,Loreto,Maynas,"Zungarococha, 5.4 km W of km 6 of lquitos-Nauta Highway (District of San Juan) ",-3.83042,-73.37146667,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,97,26.5,2836
BFA066,BFR004,Peru,Loreto,Maynas,"Zungarococha, 6 5 km W of km 6 of Iquitos-Nauta Highway (District of San Juan) ",-3.83398,-73.37725,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,106,26.5,2830
BFA067,BFR004,Peru,Loreto,Ibera,Tapiche River (District of Tapiche),-5.66667,-74.15,Precise,Primary and secondary forest,Rainforest,Iquitos varzea,Amazonia,NA,111,27,2258
BFA068,BFR005,Argentina,Misiones ,Candelaria,"Camping Japonés, Arroyo Yabebiry, Loreto ",-27.28333,-55.5,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,92,21.1,1712
BFA069,BFR005,Argentina,Misiones,Candelaria,Candelaria,-27.46667,-55.75,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,116,21,1700
BFA070,BFR005,Argentina,Misiones,Candelaria,"Candelaria, Balneario Arroyo Garupá ",-27.48333,-55.73333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,99,21.1,1703
BFA071,BFR005,Argentina,Misiones,Concepción,"Estancia Prates, Barra Concepción ",-28.08333,-55.53333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,109,20.9,1712
BFA072,BFR005,Argentina,Misiones,San Ignacio,Osununú ,-27.26667,-55.56666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,98,21.1,1727
BFA073,BFR005,Argentina,Misiones,Candelaria,Parque Provincial Cañadón de Profundidad ,-27.55000,-55.7,Not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,119,20.9,1703
BFA074,BFR005,Argentina,Misiones,Apóstoles,"Parque Provincial de la Sierra “Ingeniero Agrónomo Martínez-Crovetto”, Municipio de San José, 210 m ",-27.73333,-55.55,not precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Alto Paraná Atlantic forests,Atlantic Forest,NA,171,20.7,1722
BFA075,BFR005,Argentina,Misiones,San Ignacio,Parque Provincial Teyú Cuaré ,-27.28333,-55.58333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,138,21.2,1722
BFA076,BFR005,Argentina,Misiones,Capital,Reserva Ecológica Tupá Puojhá (Fachinal) ,-27.61667,-55.71666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,193,20.8,1704
BFA077,BFR005,Argentina,Misiones,Concepción de la Sierra,Ruinas Santa María ,-27.88333,-55.33333333,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Semideciduos forest,Southern Cone Mesopotamian savanna,Atlantic Forest,NA,194,20.7,1748
BFA078,BFR005,Argentina,Corrientes,General San Martín,Yapeyú ,-29.46667,-56.81666667,Precise,"riparian forests, hygrophilous forests, mogotes, savannahs and lagoons",Seasonal riverine forest,Uruguayan savanna,Atlantic Forest,NA,63,20.2,1329
BFA079,BFR006,Brazil,Minas Gerais,Belo Horizonte,the Reserve “Parque Estadual do Rio Doce” located at 210 km from Belo Horizonte,-19.64167,-42.63333333,Precise,Atlantic rainforest,Rainforest,Alto Paraná Atlantic forests,Atlantic Forest,NA,336,23.3,1164
BFA080,BFR007,Brazil,Paraíba,Santa Teresinha,Tamanduá Farm,-7.00389,-37.34388889,Precise,deciduos vegetation,Rainforest,Caatinga,Atlantic Forest,270,291,25.2,761
BFA081,BFR008,Brazil,Bahia,Bahia,Catinga dry forest,-14.07249,-42.35739,Not precise,hyperxerophilous  and hypoxerophytic vegetation and humid forest enclaves,Deciduous forest,Atlantic dry forests,Caatinga,900,835,21.5,828
BFA082,BFR009,Brazil,Mato Grosso do Sul,Aquidauana,"The Morro (Hill) do Paxixi, district of Camisão, municipality of Aquidauana",-20.45039,-55.62121389,Precise,"Cerrado vegetation, sesonal deciduous forest, and semi-deciduous forest",Semideciduos forest,Cerrado,Atlantic Forest,383,367,23.2,1451
BFA083,BFR010,Brazil,Pernambuco,Pernambuco,The Saltinho Biological Station,-8.73267,-35.173821,Not precise,Secundary forest in advanced natural regeneration,Rainforest,Pernambuco coastal forests,Atlantic Forest,NA,44,24,1884
BFA084,BFR010,Brazil,Pernambuco,Chã Grande,The agreste,-8.23923,-35.461196,Not precise,Transition vegetation between Atlantic forest and Caatinga,Rainforest,Pernambuco interior forests,Atlantic Forest,NA,462,22.1,1029
BFA085,BFR010,Brazil,Pernambuco,Pernambuco,The Catimbau National Park,-8.59230,-37.247671,Not precise,Caatinga,Rainforest,Caatinga,Atlantic Forest,NA,765,21.2,816
BFA086,BFR011,Brazil,Pará,Parauapebas,Cave in the Carajás National Forest,-6.03372,-50.16867222,Precise,NA,Savanna woodland,Xingu-Tocantins-Araguaia moist forests,Cerrado,514,558,24,1902
BFA087,BFR012,Brazil,Paraíba,João Pessoa,Mata do Buraquinho Wildlife Refuge,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA088,BFR012,Brazil,Paraíba,João Pessoa,Restinga de Cabedelo National Forest,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA089,BFR012,Brazil,Paraíba,João Pessoa,Cuiá Natural Park,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA090,BFR012,Brazil,Paraíba,João Pessoa,Arruda Câmara Zoobotanical Park,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA091,BFR012,Brazil,Paraíba,João Pessoa,Cidade Verde Municipal Forest,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA092,BFR012,Brazil,Paraíba,João Pessoa,Alto de Mateus,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA093,BFR012,Brazil,Paraíba,João Pessoa,Bairro dos Novaes,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA094,BFR012,Brazil,Paraíba,João Pessoa,Funcionários IV,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA095,BFR012,Brazil,Paraíba,João Pessoa,Jardim Veneza,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA096,BFR012,Brazil,Paraíba,João Pessoa,Paratibe,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA097,BFR012,Brazil,Paraíba,João Pessoa,Penha,-7.11667,-34.85,Not precise,"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves",Rainforest,Pernambuco interior forests,Atlantic Forest,NA,46,25.3,1953
BFA098,BFR013,Brazil,Pernambuco,São Lourenço da Mata,Ecological Station of Tapacurá,-8.00222,-35.01833333,Precise,NA,Rainforest,Caatinga,Atlantic Forest,NA,48,25.2,1599
BFA099,BFR014,Brazil,Sergipe,Nossa Senhora do Socorra,Ibura National Forest,-10.84056,-37.14222222,Precise,"Atlantic Forest domain, with semideciduous seasonal forest formations in intermediate and advanced stages of regeneration",Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,27,25.5,1385
BFA100,BFR015,Brazil,São Paulo,"Caieiras, Mairiporã, Guarulhos, and São Paulo",The Parque Estadual da Cantareira,-23.40000,-46.59166667,Precise,Atlantic rain forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,1250,858,17.1,1432
BFA101,BFR016,Brazil,Sergipe,Itaporanga d’Ajuda,Reserva Particular do Patrimônio Natural do Caju RPPN do Caju,-11.11990,-37.184222,Precise,Atlantic Forest associated with restinga habitats,Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,19,25.4,1428
BFA102,BFR017,Brazil,Sergipe,Sergipe,Serra de Itabaiana National Park (PNSI),-10.769095,-37.33692,Precise,"Forest areas, natural open areas and disturbed open areas",Coastal sandy mosaic,Caatinga,Atlantic Forest,NA,193,24,1297
BFA103,BFR017,Brazil,Sergipe,Capela,Wildlife Refuge Mata do Junco (RVSMJ),-10.48333333,-36.96667,Precise,"Patches with different arboreal strata, intensive logging and monocultivo of sugar cane",Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,138,25.1,1128
BFA104,BFR018,Mexico,Yucatan,"Buctzotz, Espitia and Tunkas","Buctzotz, Espitia and Tunkas",20.83333,-87.83333333,Precise,man made pasture,Semideciduos forest,Yucatán dry forests,Mesoamerica,NA,23,25.2,1175
BFA105,BFR018,Mexico,Yucatan,"Buctzotz, Espitia and Tunkas","Buctzotz, Espitia and Tunkas",21.33333,-89,Not precise,Tropical semi-deciduos forest,Semideciduos forest,Yucatán dry forests,Mesoamerica,NA,7,25.7,755
BFA106,BFR019,Brazil,Rio Grande do Sul,Santa Maria,Morro do Elefante,-29.66667,-53.71666667,Precise,Atlantic forest,Rainforest,Alto Paraná Atlantic forests,Atlantic Forest,330.5,289,18.4,1701
BFA107,BFR020,Canada,British Columbia,Southern interior British Columbia,West Arm Demonstration Forest and Pend d'Oreille Valley,49.33333,-117.2666667,Precise,NA,NA,Okanagan dry forests,NA,NA,1191,5.2,827
BFA108,BFR020,Canada,British Columbia,Southern interior British Columbia,Okanagan Valley,49.13333,-119.5,Precise,NA,NA,Okanagan dry forests,NA,NA,425,9,292
BFA109,BFR021,Mexico,Chiapas,Tapachula,Finca San Carlos,15.11756,-92.22786111,Precise,Montain rain forest with coffee plantations,Seasonal riverine forest,Sierra Madre de Chiapas moist forests,Mesoamerica,1100,1132,21.7,3861
BFA085,BFR022,Brazil,Pernambuco,Pernambuco,Catimbau National Park (CNP),-8.59230,-37.247671,Not precise,NA,Rainforest,Caatinga,Atlantic Forest,NA,765,21.2,816
BFA110,BFR023,Mexico,Veracruz,Tlalnelhuayocan,Rancho “La Luciérnaga”,19.52025,-96.98830556,Precise,Bosque Mesofilo de Montaña,Rainforest,Petén-Veracruz moist forests,Mesoamerica,1600,1493,17.8,1708
BFA111,BFR024,Mexico,Veracruz,Las Choapas,Cueva Reyes,17.26402,-93.86988333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,154,25.8,3172
BFA112,BFR024,Mexico,Veracruz,Las Choapas,Desengaño,17.32340,-93.9769,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,143,24.8,3426
BFA113,BFR024,Mexico,Veracruz,Las Choapas,Jaguar,17.20000,-94.0424,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,488,23.6,2660
BFA114,BFR024,Mexico,Veracruz,Las Choapas,Primitivo R. Valencia,17.26402,-93.86988333,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,154,25.8,3172
