SiteCode,RefCode,Country,State,Municipality,Locality,Latitude,Longitude,Precision,Vegetation,VegType,Ecoregion,Domain,Elevation,Elevationfrom,MeanAnnTemp,MeanAnnRain,Observations
BFA103,BFR017,Brazil,Sergipe,Capela,Wildlife Refuge Mata do Junco (RVSMJ),-10.48333333,-36.96667,Precise,"Patches with different arboreal strata, intensive logging and monocultivo of sugar cane",Coastal sandy mosaic,Pernambuco interior forests,Atlantic Forest,NA,98,25.1,1128,NA
BFA104,BFR018,Mexico,Yucatan,"Buctzotz, Espitia and Tunkas","Buctzotz, Espitia and Tunkas",20.83333,-87.83333333,Precise,man made pasture,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,32,25.2,1175,NA
BFA105,BFR018,Mexico,Yucatan,"Buctzotz, Espitia and Tunkas","Buctzotz, Espitia and Tunkas",21.33333,-89,Not precise,Tropical semi-deciduos forest,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,3,25.7,755,NA
BFA106,BFR019,Brazil,Rio Grande do Sul,Santa Maria,Morro do Elefante,-29.66667,-53.71666667,Precise,Atlantic forest,Rainforest,Alto Paraná Atlantic forests,Atlantic Forest,330.5,241,18.4,1701,NA
BFA107,BFR020,Mexico,Chiapas,Tapachula,Finca San Carlos,15.11756,-92.22786111,Precise,Montain rain forest with coffee plantations,Seasonal riverine forest,Sierra Madre de Chiapas moist forests,Mesoamerica,1100,1251,21.7,3861,NA
BFA085,BFR021,Brazil,Pernambuco,Pernambuco,The Catimbau National Park,-8.59230,-37.247671,Not precise,NA,Rainforest,Caatinga,Atlantic Forest,NA,849,21.2,816,NA
BFA108,BFR022,Mexico,Veracruz,Tlalnelhuayocan,Rancho “La Luciérnaga”,19.52025,-96.98830556,Precise,Bosque Mesofilo de Montaña,Rainforest,Petén-Veracruz moist forests,Mesoamerica,1600,1455,17.8,1708,NA
BFA109,BFR023,Mexico,Veracruz,Las Choapas,Cueva Reyes,17.26402,-93.86988333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,174,25.8,3172,NA
BFA110,BFR023,Mexico,Veracruz,Las Choapas,Desengaño,17.32340,-93.9769,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,250,24.8,3426,NA
BFA111,BFR023,Mexico,Veracruz,Las Choapas,Jaguar,17.20000,-94.0424,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,500,23.6,2660,NA
BFA112,BFR023,Mexico,Veracruz,Las Choapas,Primitivo R. Valencia,17.26402,-93.86988333,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,174,25.8,3172,NA
BFA113,BFR023,Mexico,Veracruz,Las Choapas,Rancho El Saguayo,17.85105,-94.1086,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,37,25.7,2480,NA
BFA114,BFR023,Mexico,Veracruz,Las Choapas,Rancho Santa Cruz,17.77990,-94.11633333,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,67,25.5,2546,NA
BFA115,BFR023,Mexico,Veracruz,Hidalgotitlán,El Fortuño,17.27812,-94.65205,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,130,25.2,3602,NA
BFA116,BFR023,Mexico,Veracruz,Uxpanapa,Álvaro Obregón,17.29325,-94.38706667,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,93,25.5,3779,NA
BFA117,BFR023,Mexico,Veracruz,Uxpanapa,Arroyo Zarzo,17.20195,-94.47378333,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,300,23.9,3200,NA
BFA118,BFR023,Mexico,Veracruz,Uxpanapa,Benito Juárez,17.45038,-94.31735,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,92,25.6,3233,NA
BFA119,BFR023,Mexico,Veracruz,Uxpanapa,Congregación L. Tamayo,17.17307,-94.01021389,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,756,22.6,1942,NA
BFA120,BFR023,Mexico,Veracruz,Uxpanapa,Cueva de la Virgen,17.44652,-94.30925,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,95,25.5,3293,NA
BFA121,BFR023,Mexico,Veracruz,Uxpanapa,Cueva Guillén,17.27490,-94.48306667,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,99,25.4,3764,NA
BFA122,BFR023,Mexico,Veracruz,Uxpanapa,Poblado 11-Cueva,17.25715,-94.29208333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,99,25.7,3961,NA
BFA123,BFR023,Mexico,Veracruz,Uxpanapa,Poblado 11-Hular,17.24572,-94.28456667,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,92,25.7,4004,NA
BFA124,BFR023,Mexico,Veracruz,Uxpanapa,La Cuchilla,17.38548,-94.41838333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,113,25.3,3442,NA
BFA125,BFR023,Mexico,Veracruz,Uxpanapa,La Joya,17.21290,-94.28498333,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,287,24.7,3865,NA
BFA126,BFR023,Mexico,Veracruz,Uxpanapa,Liberales,17.29535,-94.1574,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,180,25.3,4066,NA
BFA127,BFR023,Mexico,Veracruz,Uxpanapa,Nuevo Córdoba,17.29535,-94.07461667,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,545,23.5,2845,NA
BFA128,BFR023,Mexico,Veracruz,Uxpanapa,Plan de Arroyo,17.23575,-94.63351667,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,92,25.3,3716,NA
BFA129,BFR023,Mexico,Veracruz,Uxpanapa,Poblado 12-Horqueta,17.22077,-94.20563333,Precise,Plantación de hule,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,83,25.8,4076,NA
BFA130,BFR023,Mexico,Veracruz,Uxpanapa,Progreso-Chapultepec,17.38950,-94.06361667,Precise,Selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,100,25.5,3507,NA
BFA131,BFR023,Mexico,Veracruz,Uxpanapa,Río Grande,17.27328,-94.36215,Precise,Cueva,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,86,25.7,3812,NA
BFA132,BFR023,Mexico,Veracruz,Uxpanapa,Úrsulo Galván,17.22577,-94.48468333,Precise,Acahual de selva alta perennifolia,Rainforest,Petén-Veracruz moist forests,Mesoamerica,725,229,24.8,3698,NA
BFA133,BFR024,Mexico,Yucatan,Huhı´,Cenote Usil,20.70524,-89.20096667,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,12,26.1,1089,NA
BFA134,BFR024,Mexico,Yucatan,Homún,Cenote Acula,20.71451,-89.25430833,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,16,26.1,1080,NA
BFA135,BFR024,Mexico,Yucatan,Homún,Ejido Homu´ n,20.77234,-89.26692222,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,17,26,1054,NA
BFA136,BFR024,Mexico,Yucatan,Tunkás,Ejido Tunka´s,20.90099,-88.751303,Not precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,25,25.9,1131,NA
BFA137,BFR024,Mexico,Yucatan,Tunkás,Cenote Tepaka´n,20.88600,-88.68301944,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,27,25.9,1168,NA
BFA138,BFR024,Mexico,Yucatan,Espita,Ex Hacienda Pom,21.06521,-88.42101667,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,32,25.6,1130,NA
BFA139,BFR024,Mexico,Yucatan,Espita,Cenote Pom,21.10683,-88.43851389,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,29,25.6,1117,NA
BFA140,BFR024,Mexico,Yucatan,Buctzotz,Cenote X-limon-Ha,21.18176,-88.6368,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,13,25.8,1081,NA
BFA141,BFR024,Mexico,Yucatan,Buctzotz,Rancho Santa Cruz,21.19020,-88.54203333,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,19,25.7,1069,NA
BFA142,BFR024,Mexico,Yucatan,Buctzotz,Rancho El Roble,21.21571,-88.72906111,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,14,25.8,1064,NA
BFA143,BFR024,Mexico,Yucatan,Buctzotz,Cenote Azul,21.22719,-88.67926667,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,10,25.8,1042,NA
BFA144,BFR024,Mexico,Yucatan,Quintana Roo,Cenote Kax Ek,20.88028,-88.6217,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,29,25.8,1195,NA
BFA145,BFR024,Mexico,Yucatan,Hunucma,Huerto Hunucma,21.00906,-89.86411111,Precise,Selva baja y media caducifolia,Semideciduous forest,Yucatán dry forests,Mesoamerica,NA,8,25.8,751,NA
BFA146,BFR025,Brazil,Santa Catarina,Praia Grande and Criciúma,National Park of Aparados da Serra and Peirurban matrix of Criciúma municipality,-28.92753,-49.738482,Not precise,Ombrophylous dense submontane forest,Rainforest,Araucaria moist forests,Atlantic Forest,NA,104,15.1,1895,"(1)Praia Grande        National Park of Aparados da Serra        -29.17758        -50.106547
(2)Criciúma        Peirurban matrix of Criciúma municipality        -28.67748        -49.370417"
BFA147,BFR026,Costa Rica,Costa Rica,Costa Rica,Costa Rica,9.74743,-83.752024,Not precise,NA,Rainforest,Talamancan montane forests,Mesoamerica,NA,1319,19.2,4515,NA
BFA148,BFR026,Honduras,Honduras,Honduras,Honduras,15.19700,-86.24052,Not precise,NA,Rainforest,Central American pine-oak forests,Mesoamerica,NA,897,22.7,1375,NA
BFA149,BFR026,Mexico,Mexico,Mexico,Mexico,23.63451,-102.55278,Not precise,NA,Mixed forest,Meseta Central matorral,Mesoamerica,NA,1963,16.2,355,NA
BFA150,BFR026,Panama,Panama,Panama,Panama,8.53798,-80.782127,Not precise,NA,Coastal sandy mosaic,Isthmian-Pacific moist forests,Mesoamerica,NA,1083,20.7,2618,NA
BFA151,BFR026,Trinidad,Trinidad,Trinidad,Trinidad,10.69180,-61.222503,Not precise,NA,NA,Trinidad and Tobago moist forests,NA,NA,330,23.9,2759,NA
BFA152,BFR027,Brazil,Minas Gerais,Minas Gerais,"Lagoa do Cajueiro State Park (PELC), Jaíba Biological Reserve, Serra Azul Biological Reserve, and Serra do Cipó National Park.",-17.67400,-43.8579,Not precise,"Tropical dry forest, Cerrado and rupestrian grasslands",Semideciduous forest,Bahia interior forests,Atlantic Forest,NA,1057,21.1,1215,NA
BFA153,BFR028,Brazil,Maranhão,São Luís,São Luís,-2.82885,-43.9971,Not precise,NA,Coastal sandy mosaic,Maranhão Baba forests,Amazonia,NA,12,27,1769,NA
BFA154,BFR029,Paraguay,Several,Several,Several,-23.23427,-58.657879,Not precise,NA,Deciduous forest,Dry Chaco,Gran Chaco,NA,79,23.7,1038,"Central        -23.65050        -57.63816667
Presidente Hayes        -25.07100        -58.57983333
Cordillera        -25.94517        -56.60133333
Paraguari        -23.25233        -57.44666667
Concepción        -21.03950        -57.49283333
Alto Paraguay        -20.08533        -59.472034
Misiones        -26.75767        -56.83583333
Itapúa        -20.18300        -55.86116667
Alto Paraguay        -23.80833        -58.157
San Pedro        -22.63167        -56.128
Amambay        -22.63183        -56.02383333
Concepción        -26.12817        -57.0225
Neembucú        -24.49867        -58.12433333
Canindeyú        -23.27867        -55.50566667
Presidente Hayes        -21.48017        -57.54866667
Alto Paraguay        -23.45267        -59.55216667
Presidente Hayes        -22.45267        -59.80716667
Boqueron        -24.50717        -62.34416667
Canindeyú        -25.53833        -54.6375
Caazapá        -26.07733        -55.48366667
Paraguari        -21.19000        -56.84966667
Boqueron        -19.54850        -61.69683333
Alto Paraguay        -26.36333        -60.52733333
Itapuá        -26.36333        -55.52416667"
BFA155,BFR030,Mexico,Tamaulipas,Tamauín ,"Cave on the property of the Hotel Taninul, Taninul 1",21.93687,-98.888969,Not precise,NA,Mixed forest,Veracruz moist forests,Mesoamerica,NA,50,25.1,1201,NA
BFA156,BFR031,Brazil,Rio de Janeiro,Nova Iguaçu,Tinguá Biological Reserve,-22.59490,-43.42070,Not precise,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,124,23.3,1673,NA
BFA157,BFR032,Brazil,Mato Grosso do Sul ,Nova Andradina,The legal reserve of Fazenda Dona Amélia,-22.21037,-53.47654889,Precise,Cerrado with influences of Atlantic rainforest,Seasonal floodplain forest,Serra do Mar coastal forests,Atlantic Forest,NA,307,22.9,1410,NA
BFA158,BFR033,Brazil,São Paulo,Cananéia,Parque Estadual da Ilha do Cardoso,-25.13359,-47.9416,Not precise,Atlantic forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,85,22.5,2511,NA
BFA159,BFR034,Colombia,Sucre,Sucre,Reserva Forestal Protectora Serranía de Coraza,9.53278,-75.34995833,Precise,tropical dry forest ,Deciduous forest,Magdalena-Urabá moist forests,Caribbean,NA,296,26.4,1337,NA
BFA160,BFR035,Brazil,Mato Grosso do Sul ,Jardim,"southern part of the Serra da Bodoquena National Park, on the Campo  Verde farm",-21.41333,-56.77555556,Precise,savannah forests associated with karstic reliefs and rocky soils,Semideciduous forest,Cerrado,Atlantic Forest,NA,524,22.8,1357,NA
BFA161,BFR036,Brazil,Bahia,Santa Cruz de Cabrália,Cave da Reserva Particular do Patrimonio Natural Estação Veracel,-16.38856,-39.16883333,Precise,Atlantic rain forest with human-made structure,Rainforest,Bahia coastal forests,Atlantic Forest,NA,87,24,1480,NA
BFA162,BFR036,Brazil,Bahia,Santa Cruz de Cabrália,Cave da Reserva Particular do Patrimonio Natural Estação Veracel,-16.38856,-39.16883333,Precise,Atlantic rain forest,Rainforest,Bahia coastal forests,Atlantic Forest,NA,87,24,1480,NA
BFA163,BFR037,Brazil,Rio de Janeiro,Mangaratiba and Serópedica,Marambaia Island and Campus of the Federal Rural University of Rio de Janeiro,-22.93753,-43.75225445,Not precise,"Forest remnants, mangrove patches and dunes",Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,1,23.4,1343,"Marambaia Island       -23.06756        -43.88312
Campus of the Federal Rural University of Rio de Janeiro        -22.80750        -43.62138889"
BFA164,BFR038,Panama,Veraguas province,Montijo and Soná,Coiba National Park (CNP),7.46086,-81.73048,Not precise,NA,Coastal sandy mosaic,Isthmian-Pacific moist forests,Mesoamerica,NA,18,25.9,3322,NA
BFA165,BFR039,Brazil,Brasilia,Brasilia Federal Distric,Area de Proteção Ambiental de Cafuringa (APAC),-15.73244,-47.81666667,Precise,Cerrado,Seasonal riverine forest,Cerrado,Cerrado,NA,1052,21.1,1532,NA
BFA166,BFR040,Brazil,Rio de Janeiro,"Engenheiro Paulo de Frotin, in Pau Ferro Mountain Range",Instituto Zoobotanico de Morro Azul (IZMA),-22.48333,-43.56666667,Precise,Semi-deciduous forest,Rainforest,Serra do Mar coastal forests,Atlantic Forest,748,647,20.3,1528,NA
BFA167,BFR041,Costa Rica,Costa Rica,Costa Rica,Las Cruces Biological Reserve,8.78333,-82.95,Precise,"Pasture, cropland, house and remnant forest fragment",Rainforest,Isthmian-Pacific moist forests,Mesoamerica,1100,1209,20.5,3349,NA
BFA168,BFR042,Brazil,Paraná,Fazenda do Rio Grande,"Fazenda Experimental Gralha Azul, pertenecente à Pontificia Universidade Catolica de Paraná",-25.65000,-49.26666667,Precise,Fragmentos forestais,Rainforest,Araucaria moist forests,Atlantic Forest,NA,906,16.8,1282,NA
BFA169,BFR043,Brazil,Paraná,São Jose dos Pinhais,Serro e Gemido,-25.53458,-49.203265,Not precise,NA,Rainforest,Araucaria moist forests,Atlantic Forest,NA,913,16.9,1281,NA
BFA100,BFR043,Brazil,São Paulo,São Paulo,The Parque Estadual da Cantareira,-23.42183,-46.621414,Not precise,NA,Rainforest,Serra do Mar coastal forests,Atlantic Forest,NA,926,16.1,1517,NA
BFA170,BFR043,Brazil,São Paulo,Riberão Venerando,Estação Biologica Boraceia,-21.32314,-50.309621,Not precise,NA,Rainforest,Alto Paraná Atlantic forests,Atlantic Forest,NA,455,22.3,1185,NA
BFA171,BFR044,Honduras,Olancho,"La Unión, Jano y Esquipulas del Norte",Refugio La Muralla,15.08333333,-86.73333333,Precise,NA,Cloud forest,Central American pine-oak forests,Mesoamerica,NA,1400,19.6,1464,NA
BFA172,BFR045,French Guiana,Apatou,Apatou,Apatou,5.15390,-54.339883,Not precise,NA,Savanna woodland,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,24,26.6,2373,NA
BFA173,BFR045,French Guiana,Awala-Yalimapo,Awala-Yalimapo,Awala-Yalimapo,5.73624,-53.909524,Not precise,NA,Coastal sandy mosaic,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,1,26.6,1899,NA
BFA174,BFR045,French Guiana,Camopi,Camopi,Pic Coudreau du Sud,3.16602,-52.341382,Not precise,NA,Floodplain forest,Guianan moist forests,Amazonia,NA,53,25.8,2518,NA
BFA175,BFR045,French Guiana,Grand-Santi,Grand-Santi,Gaa Kaba (Montagne Francaise),4.25073,-54.38225,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,75,26.4,2465,NA
BFA176,BFR045,French Guiana,Kourou,Kourou,Kourou,5.16113,-52.649336,Not precise,NA,Savanna woodland,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,1,26,2815,NA
BFA177,BFR045,French Guiana,Mana,Mana,"Crique
Gargoulette along National Road",5.66801,-53.778958,Not precise,NA,Coastal sandy mosaic,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,1,26.6,1973,NA
BFA178,BFR045,French Guiana,Maripasoula,Maripasoula,Atachi Bakka,3.54914,-53.91562,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,458,22.3,2581,NA
BFA179,BFR045,French Guiana,Matoury,Matoury,Lagune Concorde,4.83178,-52.345373,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,74,26.5,3518,NA
BFA180,BFR045,French Guiana,Montsinery,Montsinery,Crique Cascade,4.89472,-52.502522,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,15,26.3,3215,NA
BFA181,BFR045,French Guiana,Regina,Regina,Approuague Saut Athanase,4.18718,-52.334466,Not precise,NA,Floodplain forest,Guianan moist forests,Amazonia,NA,35,25.7,3586,NA
BFA182,BFR045,French Guiana,Regina,Regina,"Grande Montagne Tortue, piste de Belizon, pK-13",4.30968,-52.134179,Not precise,NA,Floodplain forest,Guianan moist forests,Amazonia,NA,21,25.8,3747,NA
BFA183,BFR045,French Guiana,Regina,Regina,Grotte Mathilde,4.30968,-52.134179,Not precise,NA,Floodplain forest,Guianan moist forests,Amazonia,NA,21,25.8,3747,NA
BFA184,BFR045,French Guiana,Regina,Regina,Montagne des Gouffres,4.30968,-52.134179,Not precise,NA,Floodplain forest,Guianan moist forests,Amazonia,NA,21,25.8,3747,NA
BFA185,BFR045,French Guiana,Regina,Regina,Nouragues,4.30968,-52.134179,Not precise,NA,Floodplain forest,Guianan moist forests,Amazonia,NA,21,25.8,3747,NA
BFA186,BFR045,French Guiana,Roura,Roura,Cacao,4.54893,-52.491857,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,25,25.9,3695,NA
BFA187,BFR045,French Guiana,Roura,Roura,Crique Boulanger,4.60509,-52.332878,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,32,26,3785,NA
BFA188,BFR045,French Guiana,Roura,Roura,grotte Fourgassié,4.63167,-52.337391,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,18,26.1,3779,NA
BFA189,BFR045,French Guiana,Roura,Roura,Trésor Nature Preservation,4.61021,-52.279023,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,105,24.8,3715,NA
BFA190,BFR045,French Guiana,Saint-Elie,Saint-Elie,Trinité Nature Preservation,4.82274,-53.276409,Not precise,NA,Rainforest,Guianan moist forests,Amazonia,NA,77,24.8,2700,NA
BFA191,BFR045,French Guiana,Saint-Georges-Oyapock,Saint-Georges-Oyapock,Trois-Palétuviers,4.06667,-51.666667,Not precise,NA,Floodplain forest,Guianan moist forests,Amazonia,NA,38,25.9,3554,NA
BFA192,BFR045,French Guiana,Saül,Saül,near the village,3.86586,-53.387041,Not precise,NA,Floodplain forest,Guianan moist forests,Amazonia,NA,169,25.2,2404,NA
BFA193,BFR045,French Guiana,Sinnamary,Sinnamary,Paracou at CIRAD,5.37491,-52.95484,Not precise,NA,Hinterland sandy woodland,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,3,26.1,2661,NA
BFA194,BFR045,French Guiana,Sinnamary,Sinnamary,"Piste de Saint-Elie, pK-15",5.37714,-52.95737,Not precise,NA,Hinterland sandy woodland,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,2,26.1,2653,NA
BFA195,BFR045,French Guiana,Sinnamary,Sinnamary,"National Road, pK-106",5.37714,-52.95737,Not precise,NA,Hinterland sandy woodland,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,2,26.1,2653,NA
BFA196,BFR045,French Guiana,Sinnamary,Sinnamary,Yiyi,5.37714,-52.95737,Not precise,NA,Hinterland sandy woodland,Amazon-Orinoco-Southern Caribbean mangroves,Amazonia,NA,2,26.1,2653,NA
BFA197,BFR046,Brazil,São Paulo,São Paulo,Estação Ecológica de Caetetus,-22.37500,-49.625,Precise,Forest semideciduos,Rainforest,Alto Paraná Atlantic forests,Atlantic Forest,NA,607,20.4,1293,NA
BFA198,BFR047,Brazil,Goias,Serranopolis,Reserva Particular do Patrimônio Natural Pousada das Araras,-18.41666667,-52,Not precise,Cerrado,Semideciduous forest,Cerrado,Atlantic Forest,600,609,24.3,1536,NA
BFA199,BFR048,Mexico,Nuevo Leon,Santiago,Cueva de la Boca,25.43194444,-100.1519444,Precise,Arid region,Mixed forest,Sierra Madre Oriental pine-oak forests,NA,NA,486,21.9,1006,NA
BFA200,BFR049,Mexico,Veracruz and Puebla,Tilapan and Puebla,Cave near Tilapan and Zapotitlan Salinas,18.85,-96.66666667,Precise,evergreen forest and riparian vegetation,Rainforest,Veracruz moist forests,Mesoamerica,NA,227,24.7,1460,"Cave near Tilapan and Zapotitlan Salinas        18.85        -96.66666667                evergreen forest and riparian vegetation
Zapotlitan Salinas        18.33333333        -97.46666667              Cactus forest"
BFA201,BFR050,Mexico,Jalisco,Chamela,bas,19.592702,-105.044375,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,118,26.1,849,NA
BFA202,BFR050,Mexico,Jalisco,Chamela,hn2,19.421689,-104.822458,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,96,26.3,852,NA
BFA203,BFR050,Mexico,Jalisco,Chamela,jgp,19.83621,-105.237339,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,122,26.2,819,NA
BFA204,BFR050,Mexico,Jalisco,Chamela,lfh,19.421689,-104.822458,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,96,26.3,852,NA
BFA205,BFR050,Mexico,Jalisco,Chamela,na1,19.74379,-104.93301,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Trans-Mexican Volcanic Belt pine-oak forests,Mesoamerica,NA,601,24.2,1581,NA
BFA206,BFR050,Mexico,Jalisco,Chamela,na2,19.74379,-104.93301,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Trans-Mexican Volcanic Belt pine-oak forests,Mesoamerica,NA,601,24.2,1581,NA
BFA207,BFR050,Mexico,Jalisco,Chamela,scu,19.774031,-105.077875,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,198,25.9,1074,NA
BFA208,BFR050,Mexico,Jalisco,Chamela,udg,19.592702,-105.044375,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,118,26.1,849,NA
BFA209,BFR050,Mexico,Jalisco,Chamela,unam,19.592702,-105.044375,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,118,26.1,849,NA
BFA210,BFR050,Mexico,Jalisco,Chamela,zap,19.421689,-104.822458,Not precise,"riparian vegetation, medium forest, low forest",Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,96,26.3,852,NA
BFA211,BFR051,United States,Puerto Rico,Arecibo,"Cueva de los Culebrones, Mata de Platano Field Station",18.44,-66.7,Not precise,NA,Coral limestone deciduous woodland,Puerto Rican moist forests,Caribbean,NA,9,25.6,1424,NA
BFA212,BFR052,Panama,Panama,Panama,Several,9.151193,-79.769302,Not precise,Continuos forest and fragmented forest,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,93,26.2,2540,"Agua Salud 1        9.245869        -79.71819
Agua Salud 2        9.245869        -79.71819
Agua Salud 3        9.245869        -79.71819
Agua Salud 4        9.245869        -79.71819
Agua Salud 5        9.245869        -79.71819
Agua Salud garden        9.245869        -79.71819
Barro Colorado Island, Amourtrail        9.123855        -79.87928
Barro Colorado Island, Lab Clearing        9.123855        -79.87928
Barro Colorado Island, Miller trail        9.123855        -79.87928
Bohio        9.204324        -79.88414
Chicha        9.204324        -79.88414
Frijoles        9.123855        -79.87928
Gigante 1        9.123855        -79.87928
Gigante 2        9.123855        -79.87928
Guanabano        9.204324        -79.88414
Guava        9.204324        -79.88414
Las Pavas        9.123855        -79.87928
Mona Grita        9.123855        -79.87928
Orchid Island        9.204324        -79.88414
Pena Blanca        9.123855        -79.87928
Pato Horqueta        9.204324        -79.88414
Parque Nacional Soberania 1        9.120412        -79.72729
Parque Nacional Soberania 2        9.043633        -79.65244
Tres Almendras        9.204324        -79.88414
Urodema Island        9.123855        -79.87928"
BFA213,BFR053,Brazil,Amapá,Amapá,Floresta Nacional do Amapá (FNA),1.206111111,-51.74083333,Not precise,"upland forest, with some stains of flooded forests, “tabocais” (forest of bamboo) and rocky outcrop",Savanna woodland,Uatuma-Trombetas moist forests,Amazonia,265,128,25.9,2470,NA
BFA214,BFR053,Brazil,Amapá,Amapá,Parque Nacional Montanhas do Tumucumaque (PNMT),2.047444444,-52.75355556,Not precise,"dense forests of mainland, igapó forest (dense ombrophylous alluvial forests), slops forests and dried formations associated with rocky outcrop",Coastal sandy mosaic,Guianan moist forests,Amazonia,250,371,25.5,2412,NA
BFA215,BFR053,Brazil,Amapá,Amapá,Reserva de Desenvolvimento Sustentável do Rio Iratapurú (RDSI),0.1818518519,-53.62187963,Not precise,upland forest with a high concentration of Castanheiras-do-Brazil,Floodplain forest,Uatuma-Trombetas moist forests,Amazonia,300,204,25.9,2270,NA
