SiteCode;RefCode;Country;State;Municipality;Locality;Latitude;Longitude;Precision;Vegetation;VegType;Domain;Elevation;Protection;MeanAnnTemp;MeanAnnRain
BFA082;BFR009;Brazil;Mato Grosso do Sul;Aquidauana;The Morro (Hill) do Paxixi, district of Camisão, municipality of Aquidauana;-20.45039;-55.62121389;Precise;Cerrado vegetation, sesonal deciduous forest, and semi-deciduous forest;Semideciduous forest;Atlantic forest;383;No;23.2;1451
BFA083;BFR010;Brazil;Pernambuco;Pernambuco;The Saltinho Biological Station;-8.73267;-35.173821;Not precise;Secundary forest in advanced natural regeneration;Rainforest;Atlantic forest;NA;yes;24;1884
BFA084;BFR010;Brazil;Pernambuco;Chã Grande;The agreste;-8.23923;-35.461196;Not precise;Transition vegetation between Atlantic forest and Caatinga;Rainforest;Atlantic forest;NA;No;22.1;1029
BFA085;BFR010;Brazil;Pernambuco;Pernambuco;The Catimbau National Park;-8.59230;-37.247671;Not precise;Caatinga;Rainforest;Atlantic forest;NA;No;21.2;816
BFA086;BFR011;Brazil;Pará;Parauapebas;Cave in the Carajás National Forest;-6.03372;-50.16867222;Precise;NA;Savanna woodland;Cerrado;514;NA;24;1902
BFA087;BFR012;Brazil;Paraíba;João Pessoa;Mata do Buraquinho Wildlife Refuge;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA088;BFR012;Brazil;Paraíba;João Pessoa;Restinga de Cabedelo National Forest;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA089;BFR012;Brazil;Paraíba;João Pessoa;Cuiá Natural Park;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA090;BFR012;Brazil;Paraíba;João Pessoa;Arruda Câmara Zoobotanical Park;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA091;BFR012;Brazil;Paraíba;João Pessoa;Cidade Verde Municipal Forest;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA092;BFR012;Brazil;Paraíba;João Pessoa;Alto de Mateus;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA093;BFR012;Brazil;Paraíba;João Pessoa;Bairro dos Novaes;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA094;BFR012;Brazil;Paraíba;João Pessoa;Funcionários IV;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA095;BFR012;Brazil;Paraíba;João Pessoa;Jardim Veneza;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA096;BFR012;Brazil;Paraíba;João Pessoa;Paratibe;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA097;BFR012;Brazil;Paraíba;João Pessoa;Penha;-7.11667;-34.85;Not precise;"semi-deciduous forest, savanna formation on sandy soils ""restingas"", mangroves";Rainforest;Atlantic forest;NA;NA;25.3;1953
BFA098;BFR013;Brazil;Pernambuco;São Lourenço da Mata;Ecological Station of Tapacurá;-8.00222;-35.01833333;Precise;NA;Rainforest;Atlantic forest;NA;NA;25.2;1599
BFA099;BFR014;Brazil;Sergipe;Nossa Senhora do Socorra;Ibura National Forest;-10.84056;-37.14222222;Precise;Atlantic Forest domain, with semideciduous seasonal forest formations in intermediate and advanced stages of regeneration;Coastal sandy mosaic;Atlantic forest;NA;yes;25.5;1385
BFA100;BFR015;Algeria;;Abadla;Abadla;31.00231;-2.745868;Not precise;cave, forest and urban areas;;;NA;NA;22.1;67
BFA101;BFR015;Algeria;;Ain Barbar;Ain Barbar;36.99479;7.552483;Not precise;cave, forest and urban areas;;;NA;NA;18.4;783
BFA102;BFR015;Algeria;;Ain el Berda;Ain el Berda;36.64601;7.588639;Not precise;cave, forest and urban areas;;;NA;NA;17.9;651
BFA103;BFR015;Algeria;;Ancienne mine Oum Tboul;Ancienne mine Oum Tboul;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA104;BFR015;Algeria;;Bir Osman;Bir Osman;36.59070;5.307093;Not precise;cave, forest and urban areas;;;NA;NA;12.4;757
BFA105;BFR015;Algeria;;Bir Ouelâ;Bir Ouelâ;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA106;BFR015;Algeria;;Boukayess;Boukayess;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA107;BFR015;Algeria;;Burgas;Burgas;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA108;BFR015;Algeria;;El Chatt;El Chatt;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA109;BFR015;Algeria;;El Oenya;El Oenya;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA110;BFR015;Algeria;;Ghar el deb;Ghar el deb;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA111;BFR015;Algeria;;Ghar el dib;Ghar el dib;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA112;BFR015;Algeria;;Ghar El Djmeâ;Ghar El Djmeâ;36.50743;7.119861;Not precise;cave, forest and urban areas;;;NA;NA;12.2;835
BFA113;BFR015;Algeria;;Ghar el wahch;Ghar el wahch;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA114;BFR015;Algeria;;Ghar Ghalia;Ghar Ghalia;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA115;BFR015;Algeria;;Ghar melouane;Ghar melouane;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA116;BFR015;Algeria;;Ghar sidi Mnaser;Ghar sidi Mnaser;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA117;BFR015;Algeria;;Ghoufi;Ghoufi;35.05695;6.167282;Not precise;cave, forest and urban areas;;;NA;NA;16.8;228
BFA118;BFR015;Algeria;;Grotte cavallo;Grotte cavallo;40.15525;17.960538;Not precise;cave, forest and urban areas;;;NA;NA;17;569
BFA119;BFR015;Algeria;;Grotte du dauphin;Grotte du dauphin;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA120;BFR015;Algeria;;Grotte Lagereb;Grotte Lagereb;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA121;BFR015;Algeria;;Gunadi;Gunadi;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA122;BFR015;Algeria;;Jedi Trad;Jedi Trad;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA123;BFR015;Algeria;;Kazmat el wissam;Kazmat el wissam;36.73161;3.235583;Not precise;cave, forest and urban areas;;;NA;NA;18.2;670
BFA124;BFR015;Algeria;;Kehf Fatma Sultan;Kehf Fatma Sultan;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA125;BFR015;Algeria;;Kehf Ghalia handan;Kehf Ghalia handan;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA126;BFR015;Algeria;;Kehf Oued Zhour;Kehf Oued Zhour;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA127;BFR015;Algeria;;Kehf Sidi Boumendjel;Kehf Sidi Boumendjel;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA128;BFR015;Algeria;;Kehf Zahid aslant;Kehf Zahid aslant;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA129;BFR015;Algeria;;Khef el Dajnia;Khef el Dajnia;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA130;BFR015;Algeria;;Ksar Boussemghoune;Ksar Boussemghoune;32.86785;0.023228;Not precise;cave, forest and urban areas;;;NA;NA;17.5;160
BFA131;BFR015;Algeria;;Les Cavités Ouled driss;Les Cavités Ouled driss;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA132;BFR015;Algeria;;Les Ruines Ain el Berda;Les Ruines Ain el Berda;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA133;BFR015;Algeria;;Oasis de Nergine;Oasis de Nergine;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA134;BFR015;Algeria;;Oued tamanaret;Oued tamanaret;37.06063;6.513256;Not precise;cave, forest and urban areas;;;NA;NA;18.1;912
BFA135;BFR015;Algeria;;Oued Zeboudg;Oued Zeboudg;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA136;BFR015;Algeria;;Ouled chbel;Ouled chbel;36.59239;2.989766;Not precise;cave, forest and urban areas;;;NA;NA;17.9;655
BFA137;BFR015;Algeria;;Ras el Oued;Ras el Oued;35.94026;5.028321;Not precise;cave, forest and urban areas;;;NA;NA;12.9;402
BFA138;BFR015;Algeria;;Ripisylve ghrara;Ripisylve ghrara;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA139;BFR015;Algeria;;Ruines du chenal;Ruines du chenal;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA140;BFR015;Algeria;;Sidi Rghis;Sidi Rghis;35.90108;7.012213;Not precise;cave, forest and urban areas;;;NA;NA;13.3;475
BFA141;BFR015;Algeria;;Taghit (Sidi Bayazit;Taghit (Sidi Bayazit;30.87922;-2.010365;Not precise;cave, forest and urban areas;;;NA;NA;21.8;88
BFA142;BFR015;Algeria;;Taïbet;Taïbet;33.10074;6.413415;Not precise;cave, forest and urban areas;;;NA;NA;21.5;66
BFA143;BFR015;Algeria;;Tunnel du trio;Tunnel du trio;28.03389;1.659626;Not precise;cave, forest and urban areas;;;NA;NA;23.3;22
BFA144;BFR015;Algeria;;Youkous;Youkous;35.41722;7.963025;Not precise;cave, forest and urban areas;;;NA;NA;14.9;388
